datetime,mainclass,subclass,sfilepath,analyst,wavfile1,wavfile2,numarrivals,nummagnitudes,numaefrows,duration
1998-03-01 00:06:28,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0006-28L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0006-28S.MVO_18_1,-, 0,0, 0, 25.0
1998-03-01 00:07:55,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0007-55L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0007-55S.MVO_18_1,-, 0,0, 0, 32.0
1998-03-01 00:16:10,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0016-10L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0016-10S.MVO_18_1,-, 0,0, 0,121.0
1998-03-01 00:20:05,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0020-05L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0020-05S.MVO_18_1,-, 0,0, 0, 32.0
1998-03-01 00:22:17,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0022-17L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0022-17S.MVO_18_1,-, 0,0, 0, 48.0
1998-03-01 00:27:05,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0027-05L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0027-05S.MVO_18_1,-, 0,0, 0, 86.0
1998-03-01 00:31:14,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0031-14L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0031-14S.MVO_18_1,-, 0,0, 0, 34.0
1998-03-01 01:04:15,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0104-15L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0104-15S.MVO_18_1,-, 0,0, 0, 31.0
1998-03-01 01:07:37,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0107-37L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0107-37S.MVO_18_1,-, 0,0, 0, 26.0
1998-03-01 01:17:21,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0117-21L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0117-21S.MVO_18_1,-, 0,0, 0, 26.0
1998-03-01 01:51:29,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0151-29L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0151-29S.MVO_18_1,-, 0,0, 0, 38.0
1998-03-01 02:14:52,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0214-52L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0214-52S.MVO_18_1,-, 0,0, 0, 76.0
1998-03-01 02:18:53,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0218-53L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0218-53S.MVO_18_1,-, 0,0, 0,105.0
1998-03-01 03:02:45,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0302-45L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0302-45S.MVO_18_1,-, 0,0, 0, 97.0
1998-03-01 04:49:04,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0449-04L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0449-04S.MVO_18_1,-, 0,0, 0, 58.0
1998-03-01 05:02:31,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0502-31L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0502-31S.MVO_18_1,-, 0,0, 0, 48.0
1998-03-01 06:00:23,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0600-23L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0600-23S.MVO_18_1,-, 0,0, 0, 78.0
1998-03-01 06:16:52,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0616-52L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0616-52S.MVO_18_1,-, 0,0, 0,121.0
1998-03-01 07:44:41,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0744-41L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0744-41S.MVO_18_1,-, 0,0, 0, 45.0
1998-03-01 08:00:13,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0800-13L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0800-13S.MVO_18_1,-, 0,0, 0, 24.0
1998-03-01 09:11:08,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0911-08L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0911-08S.MVO_18_1,-, 0,0, 0, 99.0
1998-03-01 09:13:55,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/01-0913-55L.S199803,lo ,WAV/MVOE_/1998/03/9803-01-0913-55S.MVO_18_1,-, 0,0, 0, 62.0
